date,time,origin,destination,ridership,line_tag,day_type,Line,Arrival1,Station1,Arrival2,Station2,Arrival3,Station3,Arrival4,Station4,Arrival5,Station5,Arrival6,Station6,Arrival7,Station7,Arrival8,Station8,Arrival9,Station9,Arrival10,Station10,Arrival11,Station11,Arrival12,Station12,Arrival13,Station13,Arrival14,Station14,Arrival15,Station15,Arrival16,Station16,Arrival17,Station17,total_stations_visited
2025-01-01,1900-01-01 06:00:00,Tampin,Batu Caves,4.0,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1900-01-01 06:00:00,Tampin,06:05,Seremban,06:10,Batang Benar,06:15,Nilai,06:20,Bangi,06:25,Kajang,06:30,Serdang,06:35,Bandar Tasik Selatan,06:40,Mid Valley,06:45,Sentul,06:50,Bank Negara,06:55,Abdullah Hukum,07:00,KL Sentral,07:05,Batu Kentonmen,07:10,Kepong,07:15,Taman Wahyu,07:20,Batu Caves,17.0
2025-01-01,1900-01-01 08:00:00,Batu Caves,Tampin,1.0,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1900-01-01 08:00:00,Batu Caves,08:05,Taman Wahyu,08:10,Kepong,08:15,Batu Kentonmen,08:20,KL Sentral,08:25,Abdullah Hukum,08:30,Bank Negara,08:35,Sentul,08:40,Mid Valley,08:45,Bandar Tasik Selatan,08:50,Serdang,08:55,Kajang,09:00,Bangi,09:05,Nilai,09:10,Batang Benar,09:15,Seremban,09:20,Tampin,17.0
2025-01-01,1900-01-01 08:00:00,Tampin,Batu Caves,2.0,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1900-01-01 08:00:00,Tampin,08:05,Seremban,08:10,Batang Benar,08:15,Nilai,08:20,Bangi,08:25,Kajang,08:30,Serdang,08:35,Bandar Tasik Selatan,08:40,Mid Valley,08:45,Sentul,08:50,Bank Negara,08:55,Abdullah Hukum,09:00,KL Sentral,09:05,Batu Kentonmen,09:10,Kepong,09:15,Taman Wahyu,09:20,Batu Caves,17.0
2025-01-01,1900-01-01 09:00:00,Tampin,Batu Caves,5.0,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1900-01-01 09:00:00,Tampin,09:05,Seremban,09:10,Batang Benar,09:15,Nilai,09:20,Bangi,09:25,Kajang,09:30,Serdang,09:35,Bandar Tasik Selatan,09:40,Mid Valley,09:45,Sentul,09:50,Bank Negara,09:55,Abdullah Hukum,10:00,KL Sentral,10:05,Batu Kentonmen,10:10,Kepong,10:15,Taman Wahyu,10:20,Batu Caves,17.0
2025-01-01,1900-01-01 10:00:00,Batu Caves,Tampin,1.0,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1900-01-01 10:00:00,Batu Caves,10:05,Taman Wahyu,10:10,Kepong,10:15,Batu Kentonmen,10:20,KL Sentral,10:25,Abdullah Hukum,10:30,Bank Negara,10:35,Sentul,10:40,Mid Valley,10:45,Bandar Tasik Selatan,10:50,Serdang,10:55,Kajang,11:00,Bangi,11:05,Nilai,11:10,Batang Benar,11:15,Seremban,11:20,Tampin,17.0
2025-01-01,1900-01-01 10:00:00,Tampin,Batu Caves,1.0,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1900-01-01 10:00:00,Tampin,10:05,Seremban,10:10,Batang Benar,10:15,Nilai,10:20,Bangi,10:25,Kajang,10:30,Serdang,10:35,Bandar Tasik Selatan,10:40,Mid Valley,10:45,Sentul,10:50,Bank Negara,10:55,Abdullah Hukum,11:00,KL Sentral,11:05,Batu Kentonmen,11:10,Kepong,11:15,Taman Wahyu,11:20,Batu Caves,17.0
2025-01-01,1900-01-01 12:00:00,Batu Caves,Tampin,2.0,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1900-01-01 12:00:00,Batu Caves,12:05,Taman Wahyu,12:10,Kepong,12:15,Batu Kentonmen,12:20,KL Sentral,12:25,Abdullah Hukum,12:30,Bank Negara,12:35,Sentul,12:40,Mid Valley,12:45,Bandar Tasik Selatan,12:50,Serdang,12:55,Kajang,13:00,Bangi,13:05,Nilai,13:10,Batang Benar,13:15,Seremban,13:20,Tampin,17.0
2025-01-01,1900-01-01 13:00:00,Batu Caves,Tampin,10.0,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1900-01-01 13:00:00,Batu Caves,13:05,Taman Wahyu,13:10,Kepong,13:15,Batu Kentonmen,13:20,KL Sentral,13:25,Abdullah Hukum,13:30,Bank Negara,13:35,Sentul,13:40,Mid Valley,13:45,Bandar Tasik Selatan,13:50,Serdang,13:55,Kajang,14:00,Bangi,14:05,Nilai,14:10,Batang Benar,14:15,Seremban,14:20,Tampin,17.0
2025-01-01,1900-01-01 17:00:00,Batu Caves,Tampin,7.0,Batu Caves-Tampin,Weekday,Batu Caves-Tampin,1900-01-01 17:00:00,Batu Caves,17:05,Taman Wahyu,17:10,Kepong,17:15,Batu Kentonmen,17:20,KL Sentral,17:25,Abdullah Hukum,17:30,Bank Negara,17:35,Sentul,17:40,Mid Valley,17:45,Bandar Tasik Selatan,17:50,Serdang,17:55,Kajang,18:00,Bangi,18:05,Nilai,18:10,Batang Benar,18:15,Seremban,18:20,Tampin,17.0
2025-01-01,1900-01-01 17:00:00,Tampin,Batu Caves,1.0,Tampin-Batu Caves,Weekday,Tampin-Batu Caves,1900-01-01 17:00:00,Tampin,17:05,Seremban,17:10,Batang Benar,17:15,Nilai,17:20,Bangi,17:25,Kajang,17:30,Serdang,17:35,Bandar Tasik Selatan,17:40,Mid Valley,17:45,Sentul,17:50,Bank Negara,17:55,Abdullah Hukum,18:00,KL Sentral,18:05,Batu Kentonmen,18:10,Kepong,18:15,Taman Wahyu,18:20,Batu Caves,17.0
